IDENTIFIER,NAME OF COMPANY,EXCHANGE,SYMBOL
DCMSHRIRAM,DCM Shriram Limited,BSE,DCMSHRIRAM.BO
DCMSRMIND,DCM SHRIRAM INDUSTRIES LTD.-$,BSE,DCMSRMIND.BO
MAWANASUG,MAWANA SUGARS LTD.,BSE,MAWANASUG.BO
MINID,MINI DIAMONDS (INDIA) LTD.,BSE,MINID.BO
MAHAPEXLTD,MAHA RASHTRA APEX CORPORATION LTD.,BSE,MAHAPEXLTD.BO
NILKAMAL,NILKAMAL LTD.,BSE,NILKAMAL.BO
TRITON,TRITON CORP.LTD.,BSE,TRITON.BO
NAHARPOLY,NAHAR POLYFILMS LTD.,BSE,NAHARPOLY.BO
3MINDIA,3M INDIA LTD.,BSE,3MINDIA.BO
JCHAC,Johnson Controls-Hitachi Air Conditioning India Ltd,BSE,JCHAC.BO
JMFINANCIL,JM FINANCIAL LTD.-$,BSE,JMFINANCIL.BO
ADCINDIA,ADC India Communications Limited-$,BSE,ADCINDIA.BO
TNTELE,TAMILNADU TELECOMMUNICATIONS LTD.,BSE,TNTELE.BO
SUNRAJDI,SUNRAJ DIAMOND EXPORTS LTD.,BSE,SUNRAJDI.BO
RIIL,RELIANCE INDUSTRIAL INFRASTRUCTURE LTD.,BSE,RIIL.BO
SHARP,SHARP INDIA LTD.,BSE,SHARP.BO
LINDEINDIA,Linde India Limited,BSE,LINDEINDIA.BO
INDBNK,IND BANK HOUSING LTD.,BSE,INDBNK.BO
JAIMATAG,JAI MATA GLASS LTD.,BSE,JAIMATAG.BO
LOTUSCHO,LOTUS CHOCOLATE CO.LTD.,BSE,LOTUSCHO.BO
PACIFICI,PACIFIC INDUSTRIES LTD.,BSE,PACIFICI.BO
CMMHOSP,CHENNAI MEENAKSHI MULTISPECIALITY HOSPITAL LTD.-$,BSE,CMMHOSP.BO
UNIOFFICE,UNIVERSAL OFFICE AUTOMATION LTD.,BSE,UNIOFFICE.BO
APMIN,APM INDUSTRIES LTD.-$,BSE,APMIN.BO
PRECWIRE,PRECISION WIRES INDIA LTD.,BSE,PRECWIRE.BO
KRYPTONQ,KRYPTON INDUSTRIES LTD.,BSE,KRYPTONQ.BO
SWISSMLTRY,Swiss Military Consumer Goods Ltd,BSE,SWISSMLTRY.BO
MARBU,MARTIN BURN LTD.,BSE,MARBU.BO
FEL,Future Enterprises Ltd,BSE,FEL.BO
INDTONER,INDIAN TONERS & DEVELOPERS LTD.-$,BSE,INDTONER.BO
KUNSTOFF,KUNSTSTOFFE INDUSTRIES LTD.,BSE,KUNSTOFF.BO
SCI,SHIPPING CORPORATION OF INDIA LTD.,BSE,SCI.BO
SIKA,SIKA INTERPLANT SYSTEMS LTD.,BSE,SIKA.BO
ITI,ITI LTD.,BSE,ITI.BO
DREDGECORP,DREDGING CORPORATION OF INDIA LTD.,BSE,DREDGECORP.BO
PHRMASI,PHAARMASIA LTD.,BSE,PHRMASI.BO
PODDAR,Poddar Housing and Development Ltd,BSE,PODDAR.BO
NFL,NATIONAL FERTILIZERS LTD.,BSE,NFL.BO
IPRINGLTD,IP RINGS LTD.-$,BSE,IPRINGLTD.BO
PIIND,PI Industries Ltd,BSE,PIIND.BO
PLASTIBLEN,PLASTIBLENDS INDIA LTD.-$,BSE,PLASTIBLEN.BO
YASHINNO,Yash Innoventures Ltd,BSE,YASHINNO.BO
KKPLASTICK,Kkalpana Plastick Limited,BSE,KKPLASTICK.BO
WATERBASE,WATERBASE LTD.,BSE,WATERBASE.BO
FLEXFO,FLEX FOODS LTD.-$,BSE,FLEXFO.BO
GOLKUNDIA,GOLKUNDA DIAMONDS & JEWELLERY LTD.,BSE,GOLKUNDIA.BO
APCOTEXIND,APCOTEX INDUSTRIES LTD.,BSE,APCOTEXIND.BO
FORTISMLR,Fortis Malar Hospitals Limited,BSE,FORTISMLR.BO
MASTEK,MASTEK LTD.,BSE,MASTEK.BO
EIMCOELECO,EIMCO ELECON (INDIA) LTD.,BSE,EIMCOELECO.BO
SAYAJIHOTL,SAYAJI HOTELS LTD.,BSE,SAYAJIHOTL.BO
JMGCORP,JMG CORPORATION LTD.,BSE,JMGCORP.BO
ASHIANA,ASHIANA HOUSING LTD.-$,BSE,ASHIANA.BO
SVAMSOF,SVAM SOFTWARE LTD.,BSE,SVAMSOF.BO
ECOBOAR,ECOBOARD INDUSTRIES LTD.,BSE,ECOBOAR.BO
DVL,Dhunseri Ventures Ltd-$,BSE,DVL.BO
TIHIL,Trans India House Impex Ltd,BSE,TIHIL.BO
MAHEPC,Mahindra EPC Irrigation Ltd,BSE,MAHEPC.BO
SREINFRA,SREI INFRASTRUCTURE FINANCE LTD.,BSE,SREINFRA.BO
MITSHI,Mitshi India Ltd,BSE,MITSHI.BO
SHUKJEW,SHUKRA JEWELLERS LTD.,BSE,SHUKJEW.BO
MAZDALTD,MAZDA LTD.-$,BSE,MAZDALTD.BO
VICEROY,VICEROY HOTELS LTD.,BSE,VICEROY.BO
SOVERDIA,SOVEREIGN DIAMONDS LTD.,BSE,SOVERDIA.BO
MENONBE,MENON BEARINGS LTD.-$,BSE,MENONBE.BO
MUKATPIP,MUKAT PIPES LTD.-$,BSE,MUKATPIP.BO
GUJRAFIA,GUJARAT RAFFIA INDUSTRIES LTD.,BSE,GUJRAFIA.BO
SIMPLEXINF,SIMPLEX INFRASTRUCTURES LTD.,BSE,SIMPLEXINF.BO
INNOVTEC,INNOVATIVE TECH PACK LTD.,BSE,INNOVTEC.BO
SUPTANERY,Super Tannery Limited,BSE,SUPTANERY.BO
CONSTRONIC,Constronics Infra Ltd,BSE,CONSTRONIC.BO
AXTEL,AXTEL INDUSTRIES LTD.,BSE,AXTEL.BO
PIFL,Pacheli Industrial Finance Ltd,BSE,PIFL.BO
PRECISION,PRECISION CONTAINEURS LTD.,BSE,PRECISION.BO
VRWODAR,V R WOODART LTD.,BSE,VRWODAR.BO
APIL,Avi Products India Ltd,BSE,APIL.BO
POONAWALLA,Poonawalla Fincorp Ltd,BSE,POONAWALLA.BO
HINFLUR,HINDUSTAN FLUOROCARBONS LTD.,BSE,HINFLUR.BO
KINGFA,Kingfa Science & Technology (India) Ltd-$,BSE,KINGFA.BO
PATIDAR,Patidar Buildcon Limited,BSE,PATIDAR.BO
RAMAPHO,RAMA PHOSPHATES LTD.,BSE,RAMAPHO.BO
VENLONENT,VENLON ENTERPRISES LTD.,BSE,VENLONENT.BO
PETPLST,PET PLASTICS LTD.,BSE,PETPLST.BO
POLYPLEX,POLYPLEX CORPORATION LTD.,BSE,POLYPLEX.BO
ALBERTDA,ALBERT DAVID LTD.-$,BSE,ALBERTDA.BO
HARLETH,HARYANA LEATHER CHEMICALS LTD.,BSE,HARLETH.BO
CARYSIL,Carysil Ltd,BSE,CARYSIL.BO
KABRAEXTRU,KABRA EXTRUSIONTECHNIK LTD.,BSE,KABRAEXTRU.BO
VINYLINDIA,VINYL CHEMICALS (INDIA) LTD.,BSE,VINYLINDIA.BO
PCCOSMA,PEE CEE COSMA SOPE LTD.,BSE,PCCOSMA.BO
TCMLMTD,TCM LTD.,BSE,TCMLMTD.BO
IOLCP,IOL CHEMICALS & PHARMACEUTICALS LTD.,BSE,IOLCP.BO
KESARPE,KESAR PETROPRODUCTS LTD.,BSE,KESARPE.BO
VINATIORGA,VINATI ORGANICS LTD.-$,BSE,VINATIORGA.BO
LACTOSE,LACTOSE (INDIA) LTD.,BSE,LACTOSE.BO
TEEAI,TEESTA AGRO INDUSTRIES LTD.,BSE,TEEAI.BO
AARTIIND,AARTI INDUSTRIES LTD.,BSE,AARTIIND.BO
PNTKYOR,PENTOKEY ORGANY (INDIA) LTD.,BSE,PNTKYOR.BO
WANBURY,WANBURY LTD.,BSE,WANBURY.BO
RESONANCE,RESONANCE SPECIALTIES LTD.-$,BSE,RESONANCE.BO
GAEL,GUJARAT AMBUJA EXPORTS LTD.,BSE,GAEL.BO
RCF,RASHTRIYA CHEMICALS & FERTILIZERS LTD.,BSE,RCF.BO
GUJINJEC,GUJARAT INJECT (KERALA) LTD.,BSE,GUJINJEC.BO
KOPRAN,KOPRAN LTD.,BSE,KOPRAN.BO
AIMCOPEST,AIMCO PESTICIDES LTD.,BSE,AIMCOPEST.BO
GUJTERC,GUJARAT TERCE LABORATORIES LTD.,BSE,GUJTERC.BO
KABRADG,KABRA DRUGS LTD.,BSE,KABRADG.BO
SEYAIND,SEYA INDUSTRIES LTD.,BSE,SEYAIND.BO
JAYAGROGN,JAYANT AGRO-ORGANICS LTD.,BSE,JAYAGROGN.BO
BCLIL,BCL Industries Ltd-$,BSE,BCLIL.BO
SHHARICH,SHREE HARI CHEMICALS EXPORT LTD.,BSE,SHHARICH.BO
INDOBORAX,INDO BORAX & CHEMICALS LTD.-$,BSE,INDOBORAX.BO
AARTIDRUGS,AARTI DRUGS LTD.,BSE,AARTIDRUGS.BO
BODALCHEM,BODAL CHEMICALS LTD.,BSE,BODALCHEM.BO
ORCHIDPHAR,Orchid Pharma Ltd,BSE,ORCHIDPHAR.BO
VIMTALABS,VIMTA LABS LTD.-$,BSE,VIMTALABS.BO
BIOFILCHEM,BIOFIL CHEMICALS & PHARMACEUTICALS LTD.,BSE,BIOFILCHEM.BO
ISHITADR,ISHITA DRUGS & INDUSTRIES LTD.,BSE,ISHITADR.BO
MARKSANS,MARKSANS PHARMA LTD.,BSE,MARKSANS.BO
UNIVSTAR,UNIVERSAL STARCH-CHEM ALLIED LTD.,BSE,UNIVSTAR.BO
AREYDRG,AAREY DRUGS & PHARMACEUTICALS LTD.,BSE,AREYDRG.BO
NORRIS,NORRIS MEDICINES LTD.,BSE,NORRIS.BO
ASINPET,ASIAN PETROPRODUCTS & EXPORTS LTD.,BSE,ASINPET.BO
CAMEXLTD,CAMEX LTD.,BSE,CAMEXLTD.BO
EVEXIA,Evexia Lifecare Ltd,BSE,EVEXIA.BO
INDOEURO,INDO EURO INDCHEM LTD.,BSE,INDOEURO.BO
SYNCOMF,SYNCOM FORMULATIONS (INDIA) LTD.-$,BSE,SYNCOMF.BO
RIDDHI,RIDDHI SIDDHI GLUCO BIOLS LTD.-$,BSE,RIDDHI.BO
SVCIND,SVC INDUSTRIES Ltd,BSE,SVCIND.BO
IPCALAB,IPCA LABORATORIES LTD.,BSE,IPCALAB.BO
KILITCH,KILITCH DRUGS (INDIA) LTD.,BSE,KILITCH.BO
RAAJMEDI,RAAJ MEDISAFE INDIA LTD.,BSE,RAAJMEDI.BO
CORALAB,CORAL LABORATORIES LTD.,BSE,CORALAB.BO
TULASEEBIOE,TULASEE BIO-ETHANOL LTD.,BSE,TULASEEBIOE.BO
BACPHAR,BACIL PHARMA LTD.,BSE,BACPHAR.BO
KREBSBIO,KREBS BIOCHEMICALS & INDUSTRIES LTD.-$,BSE,KREBSBIO.BO
KMCSHIL,KMC SPECIALITY HOSPITALS (INDIA) LTD.,BSE,KMCSHIL.BO
LAFFANSQ,LAFFANS PETROCHEMICALS LTD.-$,BSE,LAFFANSQ.BO
BHASKAGR,BHASKAR AGROCHEMICALS LTD.,BSE,BHASKAGR.BO
SUKHJITS,SUKHJIT STARCH & CHEMICALS LTD.-$,BSE,SUKHJITS.BO
SHABCHM,SHABA CHEMICALS LTD.,BSE,SHABCHM.BO
NEULANDLAB,NEULAND LABORATORIES LTD.,BSE,NEULANDLAB.BO
GAYATRIBI,GAYATRI BIOORGANICS LTD.,BSE,GAYATRIBI.BO
PODARPIGQ,PODDAR PIGMENTS LTD.-$,BSE,PODARPIGQ.BO
PHARMAID,PHARMAIDS PHARMACEUTICALS LTD.,BSE,PHARMAID.BO
VIVIDIND,VIVID GLOBAL INDUSTRIES LTD.,BSE,VIVIDIND.BO
PRIYALT,PRIYA LTD.-$,BSE,PRIYALT.BO
TIRUSTA,TIRUPATI STARCH & CHEMICALS LTD.,BSE,TIRUSTA.BO
HEMORGANIC,Hemo Organic Limited,BSE,HEMORGANIC.BO
JDORGOCHEM,JD ORGOCHEM LTD.,BSE,JDORGOCHEM.BO
ASHOKALC,ASHOK ALCO-CHEM LTD.,BSE,ASHOKALC.BO
AKSCHEM,AKSHARCHEM (INDIA) LTD.-$,BSE,AKSCHEM.BO
BANDARAM,Bandaram Pharma Packtech Ltd,BSE,BANDARAM.BO
ADLINE,Adline Chem Lab Ltd,BSE,ADLINE.BO
BERLDRG,BERYL DRUGS LTD.,BSE,BERLDRG.BO
INDXTRA,IEL Ltd,BSE,INDXTRA.BO
ISTRNETWK,iStreet Network Limited,BSE,ISTRNETWK.BO
GAGAN,GAGAN GASES LTD.,BSE,GAGAN.BO
PARKERAC,PARKER AGROCHEM EXPORTS LTD.-$,BSE,PARKERAC.BO
SHUKRAPHAR,Shukra Pharmaceuticals Ltd,BSE,SHUKRAPHAR.BO
ALUFLUOR,ALUFLUORIDE LTD.,BSE,ALUFLUOR.BO
OXYGENTAPH,Oxygenta Pharmaceutical Ltd,BSE,OXYGENTAPH.BO
ARCHITORG,ARCHIT ORGANOSYS LTD.,BSE,ARCHITORG.BO
SIKOZY,Sikozy Realtors Limited,BSE,SIKOZY.BO
INDOAMIN,INDO AMINES LTD.-$,BSE,INDOAMIN.BO
INDSWFTLTD,IND-SWIFT LTD.,BSE,INDSWFTLTD.BO
NATCAPSUQ,NATURAL CAPSULES LTD.,BSE,NATCAPSUQ.BO
WELCURE,WELCURE DRUGS & PHARMACEUTICALS LTD.,BSE,WELCURE.BO
BIBCL,BHARAT IMMUNOLOGICALS & BIOLOGICALS CORPORATION LTD.-$,BSE,BIBCL.BO
SOTL,SAVITA OIL TECHNOLOGIES LTD.,BSE,SOTL.BO
HESTERBIO,HESTER BIOSCIENCES LTD.,BSE,HESTERBIO.BO
KABSON,KABSONS INDUSTRIES LTD.,BSE,KABSON.BO
BASANTGL,BASANT AGRO TECH (INDIA) LTD.-$,BSE,BASANTGL.BO
PARENTLD,PARENTERAL DRUGS (INDIA) LTD.-$,BSE,PARENTLD.BO
SANDUPHQ,SANDU PHARMACEUTICALS LTD.,BSE,SANDUPHQ.BO
NACLIND,NACL Industries Ltd,BSE,NACLIND.BO
VISTAPH,VISTA PHARMACEUTICALS LTD.,BSE,VISTAPH.BO
SUNPHARMA,SUN PHARMACEUTICAL INDUSTRIES LTD.,BSE,SUNPHARMA.BO
TITANBIO,TITAN BIOTECH LTD.,BSE,TITANBIO.BO
BIJHANS,BIJOY HANS LTD.,BSE,BIJHANS.BO
SDL,Span Divergent Ltd-$,BSE,SDL.BO
JENBURPH,JENBURKT PHARMACEUTICALS LTD.,BSE,JENBURPH.BO
HIKAL,HIKAL LTD.,BSE,HIKAL.BO
CAPPL,CAPLIN POINT LABORATORIES LTD.,BSE,CAPPL.BO
FISCHER,FISCHER CHEMIC LTD.,BSE,FISCHER.BO
LINKPH,LINK PHARMA CHEM LTD.,BSE,LINKPH.BO
DECIPHER,Decipher Labs Ltd,BSE,DECIPHER.BO
EMMESSA,EMMESSAR BIOTECH & NUTRITION LTD.,BSE,EMMESSA.BO
NGLFINE,NGL FINE-CHEM LTD.,BSE,NGLFINE.BO
EVERESTO,EVEREST ORGANICS LTD.,BSE,EVERESTO.BO
AUROPHARMA,AUROBINDO PHARMA LTD.,BSE,AUROPHARMA.BO
PHYTO,PHYTO CHEM (INDIA) LTD.,BSE,PHYTO.BO
NATCOPHARM,NATCO PHARMA LTD.,BSE,NATCOPHARM.BO
DYNAMIND,DYNAMIC INDUSTRIES LTD.-$,BSE,DYNAMIND.BO
PANAMAPET,PANAMA PETROCHEM LTD.,BSE,PANAMAPET.BO
BALPHARMA,BAL PHARMA LTD.,BSE,BALPHARMA.BO
BDH,BDH INDUSTRIES LTD.,BSE,BDH.BO
JAUSPOL,JAUSS POLYMERS LTD.,BSE,JAUSPOL.BO
PROCAL,PROCAL ELECTRONICS INDIA LTD.,BSE,PROCAL.BO
GLOBUSCON,Globus Constructors & Developers Limited,BSE,GLOBUSCON.BO
CUBEXTUB,CUBEX TUBINGS LTD.,BSE,CUBEXTUB.BO
POLYCHMP,POLYMECHPLAST MACHINES LTD.,BSE,POLYCHMP.BO
STELLANT,STELLANT SECURITIES (INDIA) LTD.,BSE,STELLANT.BO
GALXBRG,GALAXY BEARINGS LTD.,BSE,GALXBRG.BO
SCAGRO,SC Agrotech Ltd,BSE,SCAGRO.BO
RALEGRA,RAVILEELA GRANITES LTD.,BSE,RALEGRA.BO
UNRYLMA,UNIROYAL MARINE EXPORTS LTD.,BSE,UNRYLMA.BO
KARANWO,KARAN WOO-SIN LTD.,BSE,KARANWO.BO
SHERVANI,SHERVANI INDUSTRIAL SYNDICATE LTD.,BSE,SHERVANI.BO
BNHOLDINGS,BN Holdings Ltd,BSE,BNHOLDINGS.BO
SUPERTEX,SUPERTEX INDUSTRIES LTD.,BSE,SUPERTEX.BO
SHETR,SHETRON LTD.,BSE,SHETR.BO
TRABI,TRANSGENE BIOTEK LTD.,BSE,TRABI.BO
MPL,MPL Plastics Limited,BSE,MPL.BO
NIKHILAD,NIKHIL ADHESIVES LTD.-$,BSE,NIKHILAD.BO
SPENTA,SPENTA INTERNATIONAL LTD.,BSE,SPENTA.BO
MULTIBASE,MULTIBASE INDIA LTD.,BSE,MULTIBASE.BO
ANDREWYU,ANDREW YULE & COMPANY LTD.,BSE,ANDREWYU.BO
LUDLOWJUT,LUDLOW JUTE & SPECIALITIES LTD.,BSE,LUDLOWJUT.BO
ASHRAM,ASHRAM ONLINE.COM LTD.,BSE,ASHRAM.BO
ROYALCU,ROYAL CUSHION VINYL PRODUCTS LTD.-$,BSE,ROYALCU.BO
NOGMIND,NEOGEM INDIA LTD.,BSE,NOGMIND.BO
SURJIND,SURAJ INDUSTRIES LTD.,BSE,SURJIND.BO
HITECHCORP,Hitech Corporation Ltd-$,BSE,HITECHCORP.BO
BLOOM,BLOOM DEKOR LTD.-$,BSE,BLOOM.BO
FILATEX,FILATEX INDIA LTD.-$,BSE,FILATEX.BO
STDSFAC,STANDARD SURFACTANTS LTD.,BSE,STDSFAC.BO
MORGAN,MORGAN VENTURES LTD.,BSE,MORGAN.BO
AMRAPLIN,AMRAPALI INDUSTRIES LTD.,BSE,AMRAPLIN.BO
PREMEXPLQ,PREMIER EXPLOSIVES LTD.,BSE,PREMEXPLQ.BO
MIDEASTP,MID EAST PORTFOLIO MANAGEMENT LTD.,BSE,MIDEASTP.BO
MOLDTEK,MOLD-TEK TECHNOLOGIES LTD.,BSE,MOLDTEK.BO
CRSTCHM,CRESTCHEM LTD.,BSE,CRSTCHM.BO
MPHASIS,MPHASIS LTD.,BSE,MPHASIS.BO
MEDINOV,MEDINOVA DIAGNOSTIC SERVICES LTD.,BSE,MEDINOV.BO
DIVSHKT,Divyashakti Ltd,BSE,DIVSHKT.BO
ORIENTLTD,ORIENT PRESS LTD.,BSE,ORIENTLTD.BO
SHREYASI,SHREYAS INTERMEDIATES LTD.,BSE,SHREYASI.BO
PANJON,PANJON LTD.,BSE,PANJON.BO
NIRBHAYIND,Nirbhay Colours India Ltd,BSE,NIRBHAYIND.BO
DUROPACK,DUROPACK LTD.,BSE,DUROPACK.BO
SWARNSAR,Swarnsarita Jewels India Ltd,BSE,SWARNSAR.BO
GANESHHOUC,GANESH HOUSING CORPORATION LTD.-$,BSE,GANESHHOUC.BO
NMDC,NMDC LTD.,BSE,NMDC.BO
CINDHO,CINDRELLA HOTELS LTD.-$,BSE,CINDHO.BO
PATINTLOG,PATEL INTEGRATED LOGISTICS LTD.-$,BSE,PATINTLOG.BO
ALPHAGEO,ALPHAGEO (INDIA) LTD.-$,BSE,ALPHAGEO.BO
RPIL,RITESH PROPERTIES & INDUSTRIES LTD.,BSE,RPIL.BO
KKALPANAIND,Kkalpana Industries (India) Ltd,BSE,KKALPANAIND.BO
OKPLA,OK PLAY INDIA LTD.,BSE,OKPLA.BO
KRITIIND,KRITI INDUSTRIES (INDIA) LTD.-$,BSE,KRITIIND.BO
WELTI,WELTERMAN INTERNATIONAL LTD.,BSE,WELTI.BO
ASMTEC,ASM TECHNOLOGIES LTD.,BSE,ASMTEC.BO
PERFEPA,PERFECTPAC LTD.,BSE,PERFEPA.BO
AMBIT,AMBITIOUS PLASTOMAC COMPANY LTD.,BSE,AMBIT.BO
VISIONCINE,VISION CINEMAS LTD.,BSE,VISIONCINE.BO
DATASOFT,DATASOFT APPLICATION SOFTWARE (INDIA) LTD.,BSE,DATASOFT.BO
INDRANIB,INDRAYANI BIOTECH LTD.,BSE,INDRANIB.BO
EUROLED,EURO LEDER FASHION LTD.,BSE,EUROLED.BO
WINSOMBR,WINSOME BREWERIES LTD.,BSE,WINSOMBR.BO
ELEFLOR,ELEGANT FLORICULTURE & AGROTECH (INDIA) LTD.,BSE,ELEFLOR.BO
SAENTER,SOUTH ASIAN ENTERPRISES LTD.,BSE,SAENTER.BO
SKYIND,SKY INDUSTRIES LTD.-$,BSE,SKYIND.BO
PHOENXINTL,PHOENIX INTERNATIONAL LTD.,BSE,PHOENXINTL.BO
BHUDEVI,Bhudevi Infra Projects Ltd,BSE,BHUDEVI.BO
PRATIK,PRATIK PANELS LTD.,BSE,PRATIK.BO
RISHIROOP,Rishiroop Ltd,BSE,RISHIROOP.BO
PROMACT,Promact Impex Ltd,BSE,PROMACT.BO
STRGRENWO,STERLING GREEN WOODS LTD.,BSE,STRGRENWO.BO
DOLPHMED,DOLPHIN MEDICAL SERVICES LTD.,BSE,DOLPHMED.BO
SYSTMTXC,SYSTEMATIX CORPORATE SERVICES LTD.,BSE,SYSTMTXC.BO
SHAHISHIP,Shahi Shipping Ltd-$,BSE,SHAHISHIP.BO
ALPINEHOU,ALPINE HOUSING DEVELOPMENT CORPORATION LTD.,BSE,ALPINEHOU.BO
SANGHIIND,SANGHI INDUSTRIES LTD.,BSE,SANGHIIND.BO
WWALUM,Worldwide Aluminium Ltd,BSE,WWALUM.BO
SUDIN,SUDEV INDUSTRIES LTD.,BSE,SUDIN.BO
SFPIL,Square Four Projects India Limited,BSE,SFPIL.BO
SCANPGEOM,SCANPOINT GEOMATICS LTD.,BSE,SCANPGEOM.BO
CHOKSILA,CHOKSI LABORATORIES LTD.,BSE,CHOKSILA.BO
CCHHL,Country Club Hospitality & Holidays Ltd,BSE,CCHHL.BO
SALGUTI,SALGUTI INDUSTRIES LTD.,BSE,SALGUTI.BO
LONTE,LONGVIEW TEA COMPANY LTD.,BSE,LONTE.BO
MIDWEST,MIDWEST GOLD LTD.,BSE,MIDWEST.BO
ENTRINT,ENTERPRISE INTERNATIONAL LTD.,BSE,ENTRINT.BO
TECHIN,TECHINDIA NIRMAN LIMITED,BSE,TECHIN.BO
TPLPLAST,TPL PLASTECH LTD.,BSE,TPLPLAST.BO
WIMPLAST,WIM PLAST LTD.-$,BSE,WIMPLAST.BO
PHOTOQUP,PHOTOQUIP INDIA LTD.,BSE,PHOTOQUP.BO
LIBERTSHOE,LIBERTY SHOES LTD.,BSE,LIBERTSHOE.BO
LIPPISYS,LIPPI SYSTEMS LTD.-$,BSE,LIPPISYS.BO
ELECTHERM,ELECTROTHERM (INDIA) LTD.,BSE,ELECTHERM.BO
BLUEDART,BLUE DART EXPRESS LTD.,BSE,BLUEDART.BO
EXPOGAS,EXPO GAS CONTAINERS LTD.,BSE,EXPOGAS.BO
NATPLAS,NATIONAL PLASTIC INDUSTRIES LTD.,BSE,NATPLAS.BO
MFLINDIA,MFL INDIA LTD.,BSE,MFLINDIA.BO
AJWAFUN,AJWA FUN WORLD & RESORT LTD.,BSE,AJWAFUN.BO
TEXELIN,TEXEL INDUSTRIES LTD.,BSE,TEXELIN.BO
RAYALEMA,ROYALE MANOR HOTELS & INDUSTRIES LTD.,BSE,RAYALEMA.BO
MIRZAINT,MIRZA INTERNATIONAL LTD.,BSE,MIRZAINT.BO
TFCILTD,TOURISM FINANCE CORPORATION OF INDIA LTD.,BSE,TFCILTD.BO
THAKDEV,THAKKERS DEVELOPERS LTD.,BSE,THAKDEV.BO
ARENTERP,RAJDARSHAN INDUSTRIES LTD.,BSE,ARENTERP.BO
BIL,BHARTIYA INTERNATIONAL LTD.,BSE,BIL.BO
KAMATHOTEL,KAMAT HOTELS (INDIA) LTD.,BSE,KAMATHOTEL.BO
TIRTPLS,TIRTH PLASTIC LTD.,BSE,TIRTPLS.BO
KEEPLEARN,DSJ keep Learning Ltd,BSE,KEEPLEARN.BO
UNIVAFOODS,Univa Foods Ltd,BSE,UNIVAFOODS.BO
POLOHOT,POLO HOTELS LTD.,BSE,POLOHOT.BO
ECOPLAST,ECOPLAST LTD.-$,BSE,ECOPLAST.BO
ELEMARB,ELEGANT MARBLES & GRANI INDUSTRIES LTD.,BSE,ELEMARB.BO
ADARSHPL,ADARSH PLANT PROTECT LTD.,BSE,ADARSHPL.BO
HPBL,HCP Plastene Bulkpack Ltd,BSE,HPBL.BO
NICCOPAR,NICCO PARKS & RESORTS LTD.-$,BSE,NICCOPAR.BO
NTCIND,NTC INDUSTRIES LTD.,BSE,NTCIND.BO
SANDESH,SANDESH LTD.,BSE,SANDESH.BO
GARNET,GARNET CONSTRUCTION LTD.,BSE,GARNET.BO
GOLDIAM,GOLDIAM INTERNATIONAL LTD.,BSE,GOLDIAM.BO
BRIGHTBR,BRIGHT BROTHERS LTD.-$,BSE,BRIGHTBR.BO
CORPOCO,CORPORATE COURIER AND CARGO LTD.,BSE,CORPOCO.BO
SHAWGELTIN,NARMADA GELATINES LTD.,BSE,SHAWGELTIN.BO
PGFOILQ,PG FOILS LTD.,BSE,PGFOILQ.BO
GRATEXI,GRATEX INDUSTRIES LTD.,BSE,GRATEXI.BO
VELHO,VELAN HOTELS LTD.,BSE,VELHO.BO
HOWARHO,HOWARD HOTELS LTD.,BSE,HOWARHO.BO
PRESSURS,PRESSURE SENSITIVE SYSTEMS (INDIA) LTD.,BSE,PRESSURS.BO
VALIANT,VALIANT COMMUNICATIONS LTD.-$,BSE,VALIANT.BO
DRAGARWQ,DR.AGARWALS EYE HOSPITAL LTD.-$,BSE,DRAGARWQ.BO
MHSGRMS,MAHASAGAR TRAVELS LTD.,BSE,MHSGRMS.BO
GREENPLY,GREENPLY INDUSTRIES LTD.,BSE,GREENPLY.BO
UNQTYMI,UNION QUALITY PLASTICS LTD.,BSE,UNQTYMI.BO
SEAMECLTD,SEAMEC LTD.,BSE,SEAMECLTD.BO
RAGHUNAT,RAGHUNATH INTERNATIONAL LTD.,BSE,RAGHUNAT.BO
CHEVIOT,CHEVIOT CO.LTD.-$,BSE,CHEVIOT.BO
DAICHI,DAI-ICHI KARKARIA LTD.-$,BSE,DAICHI.BO
RAJINFRA,Rajeswari Infrastructure Limited,BSE,RAJINFRA.BO
SPICEISL,SPICE ISLANDS APPARELS LTD.-$,BSE,SPICEISL.BO
CONFIPET,CONFIDENCE PETROLEUM INDIA LTD.,BSE,CONFIPET.BO
SIPL,SHELTER INFRA PROJECTS LTD.-$,BSE,SIPL.BO
ASHSI,ASHIRWAD STEELS & INDUSTRIES LTD.,BSE,ASHSI.BO
BANARBEADS,BANARAS BEADS LTD.,BSE,BANARBEADS.BO
AREXMIS,AREX INDUSTRIES LTD.,BSE,AREXMIS.BO
BI,BILCARE LTD.-$,BSE,BI.BO
ISFL,ISF LIMITED,BSE,ISFL.BO
RISHILASE,RISHI LASER LTD.,BSE,RISHILASE.BO
JAINCO,JAINCO PROJECTS (INDIA) LTD.,BSE,JAINCO.BO
KUMPFIN,KUMBHAT FINANCIAL SERVICES LTD.,BSE,KUMPFIN.BO
INTECCAP,INTEC CAPITAL LTD.,BSE,INTECCAP.BO
RAJGASES,RAJASTHAN GASES LTD.,BSE,RAJGASES.BO
SIDDHEGA,SIDDHESWARI GARMENTS LTD.,BSE,SIDDHEGA.BO
